4,24,1
4,24,1
4,24,1
4,24,1
4,24,1
4,24,1
4,24,1
4,24,1
4,24,1
4,24,1
5,82,1
5,93,1
5,94,1
5,92,1
5,89,1
5,86,1
5,83,1
5,93,1
5,86,1
5,91,1
6,145,1
6,152,1
6,148,1
6,230,3
6,228,3
6,141,1
6,148,1
6,147,1
6,143,1
6,147,1
7,237,2
7,169,1
7,237,2
7,173,1
7,164,1
7,174,1
7,238,2
7,374,4
7,166,1
7,167,1
8,309,3
8,171,1
8,519,6
8,385,4
8,240,2
8,247,2
8,1155,16
8,169,1
8,170,1
8,174,1
9,407,4
9,552,6
9,324,3
9,328,3
9,777,9
9,989,12
9,792,9
9,1568,20
9,477,5
9,557,6
10,790,9
10,560,6
10,555,6
10,1238,15
10,484,5
10,1539,19
10,2574,33
10,957,11
10,179,1
10,4059,52
11,5137,65
11,3356,42
11,866,10
11,3997,50
11,22450,283
11,1348,16
11,18727,237
11,958,11
11,3671,46
11,563,6
12,8690,110
12,5230,66
12,1503,18
12,6672,84
12,5075,64
12,41902,527
12,8274,105
12,6729,85
12,6352,80
12,14532,184
13,29951,376
13,87689,1101
13,4777,60
13,5838,73
13,5022,63
13,15895,200
13,18330,230
13,56436,708
13,6361,80
13,3137,39
14,147198,1848
14,15739,198
14,57284,718
14,55420,695
14,91121,1145
14,48564,610
14,17455,220
14,324947,4078
14,1985,24
14,961,11
15,108144,1357
15,233884,2935
15,777359,9750
15,10063,126
15,31144,391
15,127037,1593
15,32295,405
15,57283,718
15,22162,279
15,252686,3170
16,9010,113
16,268001,3362
16,358135,4492
16,926346,11617
16,1184999,14863
16,15786,199
16,183026,2296
16,520924,6535
16,21570,271
16,200907,2519
17,637168,7989
17,756258,9483
17,937135,11751
17,12673,160
17,5623,70
17,411,4
17,409,4
17,257,2
17,328,3
17,351,4
18,358,4
18,413,4
18,414,4
18,267,3
18,335,3
18,332,3
18,336,4
18,334,3
18,415,4
18,336,4
19,255,2
19,339,3
19,331,3
19,322,3
19,411,4
19,306,3
19,336,3
19,330,3
19,336,3
19,335,3
20,336,3
20,333,3
20,253,2
20,331,3
20,254,2
20,274,3
20,404,4
20,253,2
20,334,3
20,329,3
21,280,3
21,337,3
21,256,2
21,326,3
21,324,3
21,337,3
21,253,2
21,336,3
21,258,2
21,318,3
22,255,2
22,255,2
22,336,3
22,332,3
22,231,2
22,302,3
22,287,3
22,256,2
22,320,3
22,334,3
23,209,2
23,271,3
23,258,2
23,257,2
23,339,3
23,305,3
23,248,2
23,287,3
23,289,3
23,271,3
24,337,3
24,184,2
24,268,3
24,253,2
24,257,2
24,330,3
24,256,2
24,250,2
24,258,2
24,254,2
25,179,1
25,256,2
25,292,3
25,207,2
25,254,2
25,255,2
25,258,2
25,255,2
25,336,3
25,216,2
26,259,2
26,259,2
26,256,2
26,253,2
26,255,2
26,179,1
26,255,2
26,258,2
26,257,2
26,258,2
27,256,2
27,185,2
27,255,2
27,178,1
27,253,2
27,258,2
27,251,2
27,257,2
27,175,1
27,257,2
28,218,2
28,251,2
28,186,2
28,197,2
28,259,2
28,178,2
28,212,2
28,243,2
28,253,2
28,250,2
29,222,2
29,242,2
29,231,2
29,178,1
29,232,2
29,209,2
29,247,2
29,254,2
29,172,1
29,235,2
30,231,2
30,228,2
30,259,2
30,251,2
30,175,1
30,224,2
30,222,2
30,192,2
30,258,2
30,178,1
31,180,1
31,212,2
31,179,1
31,251,2
31,175,1
31,176,1
31,214,2
31,203,2
31,253,2
31,255,2
